X1,X2,X3,X4
65.45,117.17,49.43,32.14
53.41,22.35,33.24,77.48
55.77,10.69,72.38,25.99
43.33,36.33,62.97,22.63
56.44,37.97,29.37,28.10
69.15,15.84,58.55,34.90
36.52,11.74,34.34,31.92
71.31,117.19,72.06,77.91
60.90,37.32,67.70,68.60
77.07,61.04,38.18,77.80
45.75,30.12,66.28,29.64
61.21,44.94,68.37,27.06
93.81,87.88,71.54,17.59
44.95,16.35,37.89,22.70
56.38,11.58,57.83,79.09
53.98,28.38,29.89,82.20
56.98,30.45,40.75,81.98
48.00,64.48,47.02,72.75
89.37,10.34,63.92,76.93
50.86,38.84,35.65,70.53
58.82,13.71,39.02,64.52
59.30,12.03,41.39,79.15
39.95,97.77,66.54,28.79
52.01,48.82,63.07,78.79
77.50,28.90,27.42,67.29
41.78,18.80,27.48,24.62
68.75,77.80,60.03,34.10
54.42,11.10,32.72,24.46
69.41,13.59,38.82,30.10
56.95,46.22,54.04,38.69
70.52,118.61,60.36,84.01
65.66,80.77,65.28,77.82
74.24,68.79,52.04,32.77
53.54,243.30,28.19,22.77
78.72,72.69,57.99,82.11
55.36,28.81,40.80,75.01
51.82,24.84,65.50,36.96
46.39,16.26,47.96,85.33
37.23,86.28,45.80,83.68
59.22,72.59,70.43,34.71
52.08,44.29,64.66,30.75
44.10,38.26,45.86,34.61
55.63,17.58,50.00,30.34
51.67,28.33,67.79,33.41
66.33,22.31,32.55,83.47
78.66,110.98,64.17,82.93
44.70,10.74,49.20,27.88
66.80,10.51,51.29,20.87
35.78,21.56,39.37,36.46
50.84,14.69,51.30,77.48
66.92,44.68,31.26,23.35
58.08,64.96,54.22,78.42
59.58,19.61,64.86,33.29
50.20,72.40,47.95,24.21
52.75,28.91,68.57,42.27
72.07,26.14,30.79,28.38
55.96,44.47,50.64,65.58
66.74,41.30,53.80,32.31
47.75,25.73,55.28,29.58
56.57,44.26,50.98,76.69
53.07,122.40,55.52,27.37
49.17,63.42,37.65,79.13
43.36,22.73,28.15,27.45
49.20,9.69,68.58,74.35
62.87,42.07,45.99,81.21
34.83,31.59,54.54,37.06
62.58,123.95,61.38,31.15
77.35,69.14,69.34,27.02
47.82,30.55,29.74,66.70
43.70,31.07,60.02,29.74
54.92,100.31,50.34,26.69
38.74,39.60,31.83,26.69
47.96,90.02,64.46,80.45
68.52,58.08,63.85,83.86
70.00,18.23,58.95,22.19
70.78,21.36,45.73,30.39
56.66,54.49,27.40,80.01
74.11,15.16,64.45,27.47
36.14,176.56,48.08,26.52
64.70,23.84,38.23,27.31
70.85,16.30,52.04,75.12
70.38,75.93,29.09,83.52
56.58,9.67,45.88,37.45
53.51,21.54,48.02,22.96
47.92,128.12,29.12,80.88
45.98,34.87,27.43,33.18
70.30,41.82,48.18,27.51
84.77,48.90,57.16,32.10
66.51,10.89,67.12,69.20
49.15,13.06,35.87,28.09
62.13,10.98,63.27,30.36
71.67,20.60,65.91,72.79
35.33,20.60,57.88,23.36
59.31,91.48,39.56,24.59
40.02,31.26,33.10,79.82
62.73,25.01,52.87,78.82
50.50,28.98,45.79,77.64
72.70,21.10,32.52,21.01
53.51,19.07,70.62,28.96
57.07,76.46,29.50,24.68
44.67,33.22,61.96,33.72
46.83,24.82,42.39,37.90
50.47,124.50,71.94,24.01
50.36,47.04,66.13,21.65
59.23,59.76,35.20,73.04
51.54,24.92,69.79,25.86
66.08,71.12,57.07,37.30
84.70,31.14,41.44,75.84
49.67,15.28,65.12,85.89
63.07,31.06,69.77,21.82
65.48,169.19,48.12,71.06
55.05,61.79,31.23,32.08
43.26,21.67,48.98,27.99
54.00,15.42,60.44,72.88
50.22,56.25,60.01,67.03
54.50,41.24,58.13,74.19
73.18,34.30,70.23,76.83
38.96,61.54,48.61,31.57
35.70,9.99,43.55,26.82
62.96,16.92,48.66,64.88
56.96,14.59,27.46,82.35
47.75,57.99,42.21,42.39
45.17,41.44,38.88,81.20
66.74,36.58,51.78,67.70
55.34,25.71,64.71,71.71
67.56,60.56,41.21,84.05
72.09,8.93,35.46,34.95
48.59,34.45,59.48,72.45
40.85,14.16,46.92,72.08
57.94,38.97,50.33,25.39
73.73,66.85,59.04,30.61
76.76,69.33,47.93,29.63
62.41,9.00,38.32,77.46
